benchmark,methods,pop_size,generations,run ke-1,run ke-2,run ke-3,run ke-4,run ke-5,run ke-6,run ke-7,run ke-8,run ke-9,run ke-10,run ke-11,run ke-12,run ke-13,run ke-14,run ke-15,run ke-16,run ke-17,run ke-18,run ke-19,run ke-20
X-n106-k14,CA-NN,50,17,28457.08077,28632.81346,28634.55769,28943.49038,28666.875,28393.52885,28405.36154,29066.24808,28513.1,28374.59615,28564.76731,28799.67885,28603.16923,28410.68654,28615.99038,28728.34615,28580.42885,29360.05385,28769.18846,28511.20192
X-n106-k14,CA-NN,50,18,28437.525,28568.7,28501.49808,29187.01923,28736.51923,28394.98846,28461.44231,29167.75192,28528.15962,28348.625,28522.81538,28832.30577,28591.69615,28494.30769,28574.21923,28620.85385,28421.28269,29433.69615,28861.29038,28465.06731
X-n106-k14,CA-NN,50,19,28426.89423,28487.86538,28504.12308,28917.45962,28620.59231,28350.15,28611.08077,28935.39423,28517.39808,28365.15769,28484.575,28845.43077,28601.69423,28513.08846,28623.88462,28689.50962,28475.025,29156.42885,28710.55192,28376.92308
X-n106-k14,CA-NN,50,20,28578.51346,28597.15385,28526.76154,28880.45192,28732.26731,28379.40192,28504.31346,29009.76538,28412.50577,28353.425,28593.43077,28774.475,28539.70385,28573.31346,28634.16346,28835.36731,28424.52115,29530.15385,28870.70385,28402.39231
X-n106-k14,CA-NN,50,21,28740.78462,28496.64615,28447.83077,28980.32885,28704.60192,28359.66346,28595.11154,29131.45577,28428.06346,28365.50192,28581.00962,28740.82885,28703.08269,28516.99038,28605.43846,28596.24808,28477.25,29651.11346,28936.85577,28388.22885
X-n106-k14,CA-NN,50,22,28560.81346,28515.67115,28358.00577,28883.51731,28483.73077,28384.96923,28803.15,28910.41923,28446.48462,28411.59808,28524.47885,28753.275,28738.9,28487.43846,28571.15,28677.59038,28554.42115,29375.71923,28767.89038,28411.45962
X-n106-k14,CA-NN,50,23,28404.00192,28559.14808,28315.84038,28638.47885,28466.675,28437.50962,28888.28462,29105.67308,28461.35,28352.59231,28613.84231,28778.37308,28747.64615,28619.66346,28654.34615,28560.85577,28493.39231,29252.44808,28629.89038,28451.43846
X-n106-k14,CA-NN,50,24,28417.5,28464.18846,28313.22885,28875.84423,28553.75,28478.10962,28984.00962,28986.875,28422.36154,28363.625,28684.55962,28799.81538,28653.55385,28573.675,28624.47885,28516.05769,28531.46538,29194.29808,28636.09038,28409.20385
X-n106-k14,CA-NN,50,25,28400.53846,28346.41538,28319.81731,28767.03654,28509.16538,28784.02885,29271.43462,28638.68654,28427.16346,28360.31538,29052.29231,28743.56923,28677.38654,28497.79615,28605.17692,28518.61538,28408.65192,28887.87885,28735.30192,28515.58269
X-n106-k14,CA-NN,50,26,28414.49615,28323.33846,28362.02115,28821.20962,28453.00769,28823.49038,29109.98462,28496.37115,28392.41923,28377.26154,28787.81154,28521.94615,28746.97308,28480.93462,28548.57885,28652.94423,28427.00577,28851.93846,28736.96154,28722.60192
X-n106-k14,CA-NN,50,27,28363.72692,28321.02308,28340.07885,29494.26538,28460.93654,28874.47885,28980.73462,28555.47115,28493.58462,28488.96154,28587.94231,28524.25192,28821.84423,28477.30769,28597.96923,28637.43077,28462.58846,28948.95769,28810.09423,28792.47308
X-n106-k14,CA-NN,50,28,28397.73654,28353.85962,28309.38462,29564.34808,28470.15,28470.25192,28800.54808,28521.03077,28424.35962,28476.18269,28596.08462,28523.19231,28902.65769,28515.34423,28588.81923,28788.63846,28427.18269,28858.08269,28871.92692,28887.73077
X-n106-k14,CA-NN,50,29,28421.24038,28412.075,28310.36731,29479.08462,28506.62115,28397.17308,28596.91923,28473.75192,28418.09423,28447.15,28683.55962,28406.56731,28958.74423,28622.66923,28542.35577,28854.59423,28420.08077,28908.59808,28951.49808,28911.75962
X-n106-k14,CA-NN,50,30,28467.21538,28418.49038,28289.80577,29097.89231,28422.99038,28410.06731,28666.26154,28432.97885,28451.11154,28506.28077,28730.85,28435.37885,28973.12115,28619.68077,28394.31731,28823.66538,28414.15962,28834.27115,28926.62308,28906.72692
X-n106-k14,CA-NN,50,31,28450.69231,28462.08077,28237.21538,29232.16731,28402.97308,28389.24808,28487.54808,28572.39808,28478.08654,28587.09808,28747.31731,28423.57885,29244.41923,28644.62115,28450.84423,28553.43462,28383.13077,28968.59423,28885.81346,29063.58269
X-n106-k14,CA-NN,50,32,28448.51923,28526.52115,28227.96346,29075.52115,28550.80577,28444.02308,28470.50577,28796.39615,28461.51538,28422.71346,28784.07308,28439.675,29217.99038,28742.65577,28417.23077,28621.79231,28410.26731,28878.83077,28909.64808,28974.82692
X-n106-k14,CA-NN,50,33,28501.75769,28667.36346,28267.32692,29072.17308,28467.94808,28500.77885,28570.87692,28655.59615,28604.49231,28451.875,28665.39808,28380.31154,29171.22885,28646.70385,28330.19038,28570.57885,28378.72692,28962.14423,28911.97115,29161.92885
X-n106-k14,CA-NN,50,34,28575.01346,28629.35577,28293.08846,29318.88846,28491.00769,28596.78077,28467.57308,28648.47115,28709.27115,28517.19423,28549.97885,28402.18654,29242.47308,28582.75192,28319.30385,28565.77115,28380.33654,28731.95192,28767.64808,29002.77692
X-n106-k14,CA-NN,50,35,28586.48846,28631.96346,28312.44808,29437.77308,28440.11346,28841.47115,28491.31923,28863.81923,28930.41154,28581.42115,28730.57692,28355.35577,29289.14038,28674.80962,28305.05192,28534.27885,28357.95192,28619.49231,28789.34423,28852.23654
X-n106-k14,CA-NN,50,36,28561.47885,28710.83846,28305.55385,29333.40769,28526.2,28612.7,28552.47115,28607.00962,28681.07885,28564.75962,28793.84231,28361.6,29170.55577,28598.16923,28243.04808,28493.36538,28380.39231,28749.85769,28885.93077,28702.96538
X-n106-k14,CA-NN,50,37,28559.49231,28556.16154,28366.39038,29075.1,28551.99615,28572.61923,28750.05192,28669.76731,28539.58846,28633.20577,28888.37885,28371.675,29230.72308,28598.81731,28226.51154,28502.35962,28381.24038,28648.71923,28825.53462,28790.39423
X-n106-k14,CA-NN,50,38,28482.04423,28479.85385,28310.14423,28983.45577,28515.17885,28800.49038,29096.36538,28724.76538,28523.69423,29020.35962,28948.17115,28406.40192,29329.32885,28655.86923,28393.03462,28430.84231,28424.10962,28864.97115,28517.84038,29005.36923
X-n106-k14,CA-NN,50,39,28536.20577,28691.63654,28358.67692,29063.98462,28510.87692,28937.29615,29557.51731,28647.86923,28703.29231,29227.78077,29102.01538,28412.89808,29453.75385,28529.48654,28448.63846,28409.40769,28382.55192,29082.17692,28641,28709.24423
